,Product Name,Price,Processor,Brand,RAM,Rating,Storage,Windows,Color,Discount,Screen Size
24,Thomson NEO 14.1 Inch IN-P14C Intel Celeron Dual Core N4020 Processor & Window 11 Home Notebook (4 GB RAM DDR4/ 128 GB SSD/Numeric Touch Pad/Thin & Light Weight/Silver),12990.0,Intel Celeron,THOMSON,4GB,2.7,128GB,,Silver,48.0,
25,"DELL 14 (2026) Intel Core 3 14th Gen 100U - (16 GB DDR5/512 GB SSD/Intel UHD Graphics/Windows 11 Home) Thin and Light Business Laptop/14.0"" FHD+ IPS Display/Ice Blue/1.4 kg/MSO 2021",44790.0,,DELL,16GB,5.0,512GB,Windows 11,Blue,32.0,14.0
26,ASUS Gaming V16 (2025),99990.0,,ASUS,16GB,5.0,512GB,Windows 11,Black,28.0,16.0
27,Dell 15,42990.0,Intel Core i3,DELL,16GB,3.9,512GB,Windows 11,Grey,21.0,15.6
28,HP 15,69990.0,,HP,16GB,4.0,1TB,Windows 11,Silver,11.0,15.6
29,Thomson NEO 14.1 Inch IN-P14C Intel Dual Core 4020 & Window 11 Notebook (8 GB RAM DDR4/ 256 GB SSD/Numeric Touch Pad/1MP Webcam/White),14990.0,,THOMSON,8GB,5.0,256GB,,White,46.0,
30,Dell 15,39990.0,,DELL,8GB,4.0,512GB,Windows 11,Black,16.0,15.6
31,HP 15,67990.0,Intel Core i7-1355U,HP,16GB,4.0,512GB,Windows 11,Silver,16.0,39.6
32,Lenovo IdeaPad Slim 5,92990.0,AMD Ryzen AI 7 350,LENOVO,24GB,3.7,1TB,Windows 11,Grey,26.0,14.0
33,Lenovo IdeaPad Slim 3 AMD Ryzen 7 8840HS 15.3 inch (38.8cm) WUXGA IPS AI PC Laptop(16GB RAM/512GB SSD/Windows 11/Office Home 2024/Backlit Keyboard/1Yr ADP Free/Grey/1.6Kg),77490.0,AMD Ryzen 7 8840HS 15,LENOVO,16GB,4.8,512GB,Windows 11,Grey,9.0,38.8
34,HP Pavilion x360,77490.0,Intel Core i5-1335U,HP,16GB,3.9,1TB,Windows 11,Silver,22.0,14.0
35,Thomson NEO 14.1 Inch IN-P14C Intel Celeron Dual Core N4020 Processor & Window 11 Notebook (8 GB RAM DDR4/ 256 GB SSD/Numeric Touch Pad/1MP Webcam/Silver),14990.0,Intel Celeron,THOMSON,8GB,3.0,256GB,,Silver,46.0,
36,Lenovo IdeaPad Slim 3,51375.0,Intel Core i5-12450H,LENOVO,16GB,4.2,512GB,Windows 11,Grey,28.0,15.6
37,ASUS Vivobook 15,48990.0,AMD Ryzen 7 5825U,ASUS,16GB,4.3,512GB,Windows 11,Blue,16.0,15.6
38,HP Victus,62990.0,AMD Ryzen 7 7445HS,HP,16GB,4.2,512GB,Windows 11,Silver,15.0,15.6
39,Microsoft New Surface Pro (11th Edition) - Windows 11 Home Copilot + PC - 13” OLED PixelSense Touchscreen - Qualcomm Snapdragon X Elite (12 Core) - 32GB RAM - 1TB SSD - Platinum - ZID-00014,243990.0,Qualcomm Snapdragon,MICROSOFT,32GB,2.9,1TB,Windows 11,Platinum,2.0,
40,"Lenovo V15 Intel Core i3 13th Gen (16GB RAM/512GB SSD/Windows 11 Home/Office 2024/Iron Grey) 15.6"" FHD (1920x1080) Antiglare 250 Nits Thin & Light Laptop/1Y Onsite/1.65 kg",,Intel Core i3,LENOVO,16GB,4.0,512GB,Windows 11,Grey,,15.6
41,ULTIMUS APEX Laptop Intel Pentium Quad Core 8 GB DDR3 512 GB SSD Expandable~1TB 14.1 HD IPS Laptop Anti-Glare Ultra Thin Bezel 180° Hinge 3.0x3 USB HDMI SD Card Slot Win 11 Home 1.25KG Silver,18990.0,Intel Pentium,ULTIMUS,8GB,3.4,512GB,Windows 11,Silver,53.0,
42,Lenovo V15 G4 AMD Ryzen 5 7520U DOS 15.6 inch FHD Thin & Lite Laptop,42799.0,AMD Ryzen 5 7520U DOS 15,LENOVO,16GB,3.8,512GB,,Grey,57.0,
43,ASUS Vivobook 14,59990.0,AMD Ryzen AI 5 330,ASUS,16GB,3.3,512GB,Windows 11,Blue,27.0,14.0
44,Dell 15,60526.0,Intel Core i5,DELL,16GB,3.7,1TB,Windows 11,Silver,23.0,15.6
45,acer Aspire Lite,54999.0,,ACER,16GB,4.0,512GB,Windows 11,Silver,31.0,15.6
46,Microsoft New Surface Pro (11th Edition) - Windows 11 Home Copilot + PC - 13” OLED PixelSense Touchscreen - Qualcomm Snapdragon X Elite (12 Core) - 32GB RAM - 1TB SSD - Platinum - ZID-00014,243990.0,Qualcomm Snapdragon,MICROSOFT,32GB,2.9,1TB,Windows 11,Platinum,2.0,
47,HP 15,54990.0,Intel Core i5-1335U,HP,16GB,3.9,512GB,Windows 11,Silver,16.0,15.6
48,Lenovo IdeaPad Slim 3,,Intel Core i3,LENOVO,8GB,3.9,512GB,Windows 11,Grey,,15.6
49,Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram,34999.0,AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram,LENOVO,8GB,4.0,512GB,Windows 11,Silver,8.0,15.6
50,Lenovo 14 (2025),53560.0,Intel Core i5,LENOVO,,,512GB,Windows 11,Grey,46.0,14.0
51,ASUS Vivobook S16,67990.0,,ASUS,16GB,4.3,512GB,Windows 11,Metallic,1.0,16.0
52,STRIFF Laptop Tabletop Stand,199.0,,STRIFF,,4.2,,,Black,87.0,
53,"Samsung Galaxy Book 4 15.6"" Full HD",54800.0,Intel Core i5,SAMSUNG,16GB,4.9,512GB,Windows 11,Silver,30.0,15.6
54,Lenovo IdeaPad Slim 5,92990.0,AMD Ryzen AI 7 350,LENOVO,24GB,3.7,1TB,Windows 11,Grey,26.0,14.0
55,Lenovo IdeaPad Slim 3 AMD Ryzen 7 8840HS 15.3 inch (38.8cm) WUXGA IPS AI PC Laptop(16GB RAM/512GB SSD/Windows 11/Office Home 2024/Backlit Keyboard/1Yr ADP Free/Grey/1.6Kg),77490.0,AMD Ryzen 7 8840HS 15,LENOVO,16GB,4.8,512GB,Windows 11,Grey,9.0,38.8
56,ULTIMUS APEX Laptop Intel Pentium Quad Core 8 GB DDR3 512 GB SSD Expandable~1TB 14.1 HD IPS Laptop Anti-Glare Ultra Thin Bezel 180° Hinge 3.0x3 USB HDMI SD Card Slot Win 11 Home 1.25KG Silver,18990.0,Intel Pentium,ULTIMUS,8GB,3.4,512GB,Windows 11,Silver,53.0,
57,Dell 15,44326.0,,DELL,16GB,3.9,512GB,Windows 11,Black,16.0,15.6
58,HP Omen,164490.0,Intel Core i9-14900HX,HP,24GB,3.6,1TB,Windows 11,Black,14.0,16.0
59,HP 14,84790.0,,HP,24GB,3.0,1TB,Windows 11,Silver,4.0,14.0
60,HP Victus,80490.0,Intel Core i5-14450HX,HP,24GB,3.9,512GB,Windows 11,Silver,20.0,15.6
61,HP Smartchoice Victus,105990.0,Intel Core i7-13620H,HP,24GB,4.0,1TB,Windows 11,Silver,15.0,15.6
62,ASUS Zenbook 14,114990.0,,ASUS,,4.1,32GB,Windows 11,Blue,28.0,14.0
63,HP Professional 14 (2025),43950.0,Intel Core i3,HP,,5.0,512GB,Windows 11,Silver,21.0,14.0
64,Lenovo IdeaPad 5 2-in-1 AMD Ryzen AI 7 350 (24GB RAM/1TB SSD/14 (35.5cm)/WUXGA OLED/Windows 11/Lenovo AI Now/Copilot+PC/Office Home 2024/Digital Pen 2/Grey/1.5Kg),99990.0,AMD Ryzen AI 7 350,LENOVO,24GB,4.1,1TB,Windows 11,Grey,25.0,35.5
65,ASUS Vivobook S14,65990.0,AMD Ryzen AI 5 330,ASUS,16GB,4.4,512GB,Windows 11,Gray,30.0,14.0
66,Dell 15,60526.0,Intel Core i5,DELL,16GB,3.7,1TB,Windows 11,Silver,23.0,15.6
67,acer Aspire Lite,54999.0,,ACER,16GB,4.0,512GB,Windows 11,Silver,31.0,15.6
68,ASUS Vivobook 15,63990.0,Intel Core i7,ASUS,16GB,4.0,512GB,Windows 11,Blue,26.0,15.6
69,Lenovo IdeaPad 5 2-in-1 AMD Ryzen AI 7 350 (24GB RAM/1TB SSD/14 (35.5cm)/WUXGA OLED/Windows 11/Lenovo AI Now/Copilot+PC/Office Home 2024/Digital Pen 2/Grey/1.5Kg),99990.0,AMD Ryzen AI 7 350,LENOVO,24GB,4.1,1TB,Windows 11,Grey,25.0,35.5
70,Lenovo 14 (2025),53560.0,Intel Core i5,LENOVO,,4.0,512GB,Windows 11,Grey,46.0,14.0
71,ASUS TUF A16 (2025),89990.0,AMD Ryzen 7 7445HS,ASUS,16GB,4.1,1TB,Windows 11,Gray,22.0,16.0
72,acer SmartChoice ALG,62990.0,Intel Core i5-13420H,ACER,6GB,4.0,512GB,Windows 11,Gray,16.0,15.6
73,HP Omnibook 5 OLED (Previously Pavilion),69990.0,,HP,16GB,4.1,1TB,Windows 11,Silver,19.0,16.0
74,HP Omen,169990.0,AMD Ryzen 9 8940HX,HP,24GB,4.2,1TB,Windows 11,Black,14.0,16.0
75,HP OmniBook 7 OLED,86490.0,,HP,16GB,3.7,1TB,Windows 11,Silver,15.0,14.0
76,Lenovo IdeaPad Slim 3 AMD Ryzen 7 8840HS 15.3 inch (38.8cm) WUXGA IPS AI PC Laptop(16GB RAM/512GB SSD/Windows 11/Office Home 2024/Backlit Keyboard/1Yr ADP Free/Grey/1.6Kg),77490.0,AMD Ryzen 7 8840HS 15,LENOVO,16GB,4.8,512GB,Windows 11,Grey,9.0,38.8
77,Lenovo IdeaPad Slim 5,92990.0,AMD Ryzen AI 7 350,LENOVO,24GB,3.7,1TB,Windows 11,Grey,26.0,14.0
78,MSI Thin 15,60325.0,,MSI,,4.2,512GB,Windows 11,Gray,27.0,40.0
79,Apple 2025 MacBook Pro Laptop with M5 chip,164490.0,,APPLE,,4.8,512GB,,Space,3.0,97.0
80,HP Victus,69999.0,AMD Ryzen 7 7445HS,HP,16GB,,1TB,Windows 11,Blue,15.0,15.6
81,acer Aspire Lite,46990.0,AMD Ryzen 7,ACER,16GB,4.0,512GB,Windows 11,Gray,30.0,15.6
82,Lenovo Yoga Slim 7 (Smartchoice) Aura Edition,99927.0,,LENOVO,16GB,4.0,1TB,Windows 11,Grey,29.0,14.0
83,acer Nitro V 15,76990.0,AMD Ryzen 7,ACER,16GB,3.7,512GB,Windows 11,Black,29.0,15.6
84,ASUS Vivobook 15 (2025),37990.0,Intel Core i3-1315U,ASUS,8GB,5.0,512GB,Windows 11,Silver,25.0,15.6
85,ASUS Vivobook Go 15,37950.0,AMD Ryzen 3 7320U,ASUS,8GB,4.0,512GB,Windows 11,Silver,31.0,15.6
86,Lenovo IdeaPad 5 2-in-1 AMD Ryzen AI 7 350 (24GB RAM/1TB SSD/14 (35.5cm)/WUXGA OLED/Windows 11/Lenovo AI Now/Copilot+PC/Office Home 2024/Digital Pen 2/Grey/1.5Kg),99990.0,AMD Ryzen AI 7 350,LENOVO,24GB,4.1,1TB,Windows 11,Grey,25.0,35.5
87,ASUS Vivobook S14,65990.0,AMD Ryzen AI 5 330,ASUS,16GB,4.4,512GB,Windows 11,Gray,30.0,14.0
88,Dell 15,60526.0,Intel Core i5,DELL,16GB,3.7,1TB,Windows 11,Silver,23.0,15.6
89,acer Aspire Lite,54999.0,,ACER,16GB,4.0,512GB,Windows 11,Silver,31.0,15.6
90,acer Nitro V 15,76990.0,AMD Ryzen 7,ACER,16GB,3.7,512GB,Windows 11,Black,29.0,15.6
91,Lenovo Yoga Slim 7 (Smartchoice) Aura Edition,99927.0,,LENOVO,16GB,4.0,1TB,Windows 11,Grey,29.0,14.0
92,Lenovo {SmartChoice)Chromebook Intel Celeron N4500 (4GB RAM/64GB eMMC 5.1/11.6 Inch (29.46cm)/HD Display/2Wx2 Stereo Speakers/HD Camera/Chrome OS/Blue/1.21Kg),,Intel Celeron,LENOVO,4GB,3.9,4GB,,Blue,,46.0
93,ASUS Vivobook S14,65990.0,AMD Ryzen AI 5 330,ASUS,16GB,4.4,512GB,Windows 11,Gray,30.0,14.0
94,Dell 15,56990.0,Intel Core i5,DELL,16GB,3.7,512GB,Windows 11,Grey,21.0,15.6
95,HP Victus,119490.0,Intel Core i7-13620H,HP,24GB,4.2,1TB,Windows 11,Silver,12.0,15.6
96,ASUS Gaming V16,109990.0,,ASUS,16GB,4.1,512GB,Windows 11,Black,27.0,16.0
97,STRIFF Laptop Tabletop Stand,199.0,,STRIFF,,4.2,,,Black,87.0,
98,Lenovo IdeaPad Slim 3 AMD Ryzen 7 8840HS 15.3 inch (38.8cm) WUXGA IPS AI PC Laptop(16GB RAM/512GB SSD/Windows 11/Office Home 2024/Backlit Keyboard/1Yr ADP Free/Grey/1.6Kg),77490.0,AMD Ryzen 7 8840HS 15,LENOVO,16GB,4.8,512GB,Windows 11,Grey,9.0,38.8
99,Lenovo IdeaPad Slim 5,92990.0,AMD Ryzen AI 7 350,LENOVO,24GB,3.7,1TB,Windows 11,Grey,26.0,14.0
100,HP Laptop 15,55990.0,Intel Core i5-1335U-13th,HP,16GB,4.0,512GB,Windows 11,Silver,22.0,15.6
101,Lenovo Yoga Slim 7,84990.0,,LENOVO,16GB,4.3,512GB,Windows 11,Grey,25.0,14.0
102,HP Omen,138990.0,Intel Core i7-14650HX,HP,24GB,4.3,1TB,Windows 11,Black,15.0,16.0
103,Lenovo LOQ,131017.0,Intel Core i7,LENOVO,16GB,4.0,1TB,Windows 11,Grey,19.0,15.6
104,ASUS Vivobook 15,40500.0,Intel Core i3-1315U,ASUS,16GB,4.2,512GB,Windows 11,Silver,26.0,15.6
105,acer Aspire Lite 12th Gen Intel Core i3-1215U Premium Metal Laptop (Windows 11 Home/16 GB RAM/512GB SSD) AL15-52,37990.0,Intel Core i3-1215U,ACER,16GB,4.0,512GB,Windows 11,Gray,28.0,62.0
106,"Lenovo V15 AMD Ryzen 7 7730U 15.6"" (39.62cm) FHD 250 Nits Antiglare Thin and Light Laptop (Free MS Office) Lifetime (16GB/512GB SSD/Windows 11/Iron Grey/1.65 Kg) 1 Year Brand Warranty",52999.0,AMD Ryzen 7 7730U 15,LENOVO,,4.1,512GB,Windows 11,Grey,35.0,15.6
107,ASUS ROG Strix G16,147990.0,AMD Ryzen 9 8940HX,ASUS,16GB,4.3,1TB,Windows 11,Gray,15.0,16.0
108,ASUS Vivobook S14,65990.0,AMD Ryzen AI 5 330,ASUS,16GB,4.4,512GB,Windows 11,Gray,30.0,14.0
109,ASUS Vivobook 14,59990.0,AMD Ryzen AI 5 330,ASUS,16GB,3.3,512GB,Windows 11,Blue,27.0,14.0
110,Dell 15,60526.0,Intel Core i5,DELL,16GB,3.7,1TB,Windows 11,Silver,23.0,15.6
111,acer Aspire Lite,54999.0,,ACER,16GB,4.0,512GB,Windows 11,Silver,31.0,15.6
112,ASUS Gaming V16 (2025) 14th Gen,92990.0,,ASUS,16GB,4.2,512GB,Windows 11,Black,18.0,
113,"Lenovo Yoga Slim 7 (Smartchoice) Intel Core Ultra 9 185H 14""(35.5cm) WUXGA-OLED Laptop (32GB RAM/1TB SSD/AI PC/Windows 11/Microsoft 365 Basic + Office Home 2024/1Yr ADP Free/Grey/1.39Kg)",109990.0,,LENOVO,32GB,4.0,1TB,Windows 11,Grey,30.0,14.0
114,ASUS Vivobook S14,80990.0,,ASUS,16GB,4.5,512GB,Windows 11,Silver,27.0,14.0
115,Lenovo V15 G4 AMD Ryzen 5 7520U 15.6 inch FHD Laptop,41890.0,AMD Ryzen 5 7520U 15,LENOVO,16GB,4.0,512GB,Windows 11,Grey,58.0,
116,HP Chromebook x360,28490.0,Intel Celeron,HP,4GB,3.7,4GB,,White,12.0,35.6
117,HP Smartchoice Victus,92990.0,,HP,16GB,4.0,512GB,Windows 11,Silver,8.0,15.6
118,Dell SmartChoice G15-5530,77787.0,Intel Core i5,DELL,16GB,4.0,1TB,Windows 11,Grey,26.0,15.6
119,Dell 15,51990.0,AMD Ryzen 7,DELL,16GB,3.6,512GB,Windows 11,Platinum,19.0,15.6
120,Lenovo IdeaPad Slim 3 AMD Ryzen 7 8840HS 15.3 inch (38.8cm) WUXGA IPS AI PC Laptop(16GB RAM/512GB SSD/Windows 11/Office Home 2024/Backlit Keyboard/1Yr ADP Free/Grey/1.6Kg),77490.0,AMD Ryzen 7 8840HS 15,LENOVO,16GB,4.8,512GB,Windows 11,Grey,9.0,38.8
121,Lenovo IdeaPad Slim 5,92990.0,AMD Ryzen AI 7 350,LENOVO,24GB,3.7,1TB,Windows 11,Grey,26.0,14.0
122,HP Smartchoice Omen AMD Ryzen 7 7840Hs,126220.0,AMD Ryzen 7 7840Hs,HP,16GB,4.0,1TB,Windows 11,Black,9.0,16.1
123,Apple 2025 MacBook Air (13-inch,89900.0,Apple M4,APPLE,,4.7,16GB,,Blue,10.0,
124,MSI Katana 15,114990.0,,MSI,,3.8,512GB,Windows 11,Black,11.0,40.0
125,HP 15 Laptop,45990.0,AMD Ryzen 5 7520U,HP,16GB,3.9,512GB,Windows 11,Silver,17.0,15.6
126,Lenovo IdeaPad Slim 3 AMD Ryzen 7 8840HS 15.3 inch (38.8cm) WUXGA IPS Laptop (16GB RAM/512GB SSD/Windows 11/Office Home 2024/Backlit Keyboard/1Yr ADP Free/Grey/1.6Kg),67490.0,AMD Ryzen 7 8840HS 15,LENOVO,16GB,4.8,512GB,Windows 11,Grey,29.0,38.8
127,Acer TravelLite Thin Laptop AMD Ryzen 5 7430U (6-Core),36999.0,AMD Ryzen 5 7430U,ACER,8GB,3.0,512GB,Windows 11,Black,30.0,14.0
128,ASUS Vivobook Go 15,37990.0,AMD Ryzen 5 7520U Thin,ASUS,8GB,4.0,512GB,Windows 11,Silver,25.0,15.6
129,Lenovo ThinkBook 16,68490.0,AMD Ryzen 7 7735HS,LENOVO,16GB,4.3,512GB,Windows 11,,26.0,16.0
130,ASUS Vivobook S14,65990.0,AMD Ryzen AI 5 330,ASUS,16GB,4.4,512GB,Windows 11,Gray,30.0,14.0
131,ASUS Zenbook 14,85990.0,AMD Ryzen AI 5 340,ASUS,16GB,4.2,512GB,Windows 11,Black,27.0,
