,Product Name,Price,Processor,Brand,RAM,Rating,Storage,Windows,Color,Discount,Screen Size
98,Lenovo IdeaPad Slim 3 AMD Ryzen 7 8840HS 15.3 inch (38.8cm) WUXGA IPS AI PC Laptop(16GB RAM/512GB SSD/Windows 11/Office Home 2024/Backlit Keyboard/1Yr ADP Free/Grey/1.6Kg),"77,490",AMD Ryzen 7 8840HS 15,LENOVO,16GB,4.8,512GB,Windows 11,Grey,(9% off),38.8
99,Lenovo IdeaPad Slim 5,"92,990",AMD Ryzen AI 7 350,LENOVO,24GB,3.7,1TB,Windows 11,Grey,(26% off),14
100,HP Laptop 15,"55,990",Intel Core i5-1335U-13th,HP,16GB,4.0,512GB,Windows 11,Silver,(22% off),15.6
101,Lenovo Yoga Slim 7,"84,990",N/A,LENOVO,16GB,4.3,512GB,Windows 11,Grey,(25% off),14
102,HP Omen,"1,38,990",Intel Core i7-14650HX,HP,24GB,4.3,1TB,Windows 11,Black,(15% off),16
103,Lenovo LOQ,"1,31,017",Intel Core i7,LENOVO,16GB,4.0,1TB,Windows 11,Grey,(19% off),15.6
104,ASUS Vivobook 15,"40,500",Intel Core i3-1315U,ASUS,16GB,4.2,512GB,Windows 11,Silver,(26% off),15.6
105,acer Aspire Lite 12th Gen Intel Core i3-1215U Premium Metal Laptop (Windows 11 Home/16 GB RAM/512GB SSD) AL15-52,"37,990",Intel Core i3-1215U,ACER,16GB,4.0,512GB,Windows 11,Gray,(28% off),62
106,"Lenovo V15 AMD Ryzen 7 7730U 15.6"" (39.62cm) FHD 250 Nits Antiglare Thin and Light Laptop (Free MS Office) Lifetime (16GB/512GB SSD/Windows 11/Iron Grey/1.65 Kg) 1 Year Brand Warranty","52,999",AMD Ryzen 7 7730U 15,LENOVO,N/A,4.1,512GB,Windows 11,Grey,(35% off),15.6
107,ASUS ROG Strix G16,"1,47,990",AMD Ryzen 9 8940HX,ASUS,16GB,4.3,1TB,Windows 11,Gray,(15% off),16
108,ASUS Vivobook S14,"65,990",AMD Ryzen AI 5 330,ASUS,16GB,4.4,512GB,Windows 11,Gray,(30% off),14
109,ASUS Vivobook 14,"59,990",AMD Ryzen AI 5 330,ASUS,16GB,3.3,512GB,Windows 11,Blue,(27% off),14
110,Dell 15,"60,526",Intel Core i5,DELL,16GB,3.7,1TB,Windows 11,Silver,(23% off),15.6
